vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 87 D 7331,868960069617146,0.0,0.0,306.87,03/09/2025 23:58:56,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.480582
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:51,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.480786
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:46,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.480929
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:41,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.481044
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:36,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.481159
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:31,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.481309
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:26,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.481431
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:21,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.481632
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:16,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.481795
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:11,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.481987
TN 87 D 7331,868960069617146,0.0,0.0,306.88,03/09/2025 23:58:06,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.482153
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:58:01,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.482267
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:56,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.482442
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:51,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.482605
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:46,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.482739
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:41,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.482879
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:36,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.483003
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:31,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.483162
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:26,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.483297
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:21,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.483400
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:16,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.483512
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:11,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.483646
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:06,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.483765
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:57:01,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.483895
TN 87 D 7331,868960069617146,0.0,0.0,306.89,03/09/2025 23:56:56,12.6768422,79.9781274,9781274,2025-09-04T23:27:42.484033
