vehicle_number,device_id,speed,total_distance,fuel,data_received,latitude,longitude,location_text,scraped_at
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:58:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.210787
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:58:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.211040
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:57:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.211264
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:57:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.211483
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:56:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.211692
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:56:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.211887
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:55:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.212036
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:55:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.212179
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:54:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.212380
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:54:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.212592
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:53:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.212808
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:53:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.212989
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:52:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.213165
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:52:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.213349
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:51:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.213520
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:51:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.213672
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:50:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.213846
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:50:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.213991
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:49:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.214149
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:49:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.214290
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:48:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.214429
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:48:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.214557
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:47:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.214682
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:47:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.214822
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:46:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.214957
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:46:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.215077
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:45:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.215211
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:45:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.215459
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:44:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.215654
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:44:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.215840
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:43:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.215990
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:43:04,12.943835,80.1840166,1840166,2025-09-04T23:28:16.216141
TN 87 F 2685,353201357167755,0.0,0.0,233.0,03/09/2025 23:42:34,12.943835,80.1840166,1840166,2025-09-04T23:28:16.216290
